,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-07-15,1260.0,1260.0,1260.0,1260.0,1237.9764400000001,0.0
1,2019-07-16,1300.0,1300.0,1300.0,1275.0,1252.714233,100.0
2,2019-07-17,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
3,2019-07-18,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
4,2019-07-19,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
5,2019-07-22,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
6,2019-07-23,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
7,2019-07-24,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
8,2019-07-25,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
9,2019-07-26,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
10,2019-07-29,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
11,2019-07-30,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
12,2019-07-31,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
13,2019-08-01,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
14,2019-08-02,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
15,2019-08-05,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
16,2019-08-06,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
17,2019-08-07,1340.0,1340.0,1340.0,1275.0,1252.714233,100.0
18,2019-08-08,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
19,2019-08-09,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
20,2019-08-12,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
21,2019-08-13,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
22,2019-08-14,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
23,2019-08-15,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
24,2019-08-16,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
25,2019-08-19,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
26,2019-08-20,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
27,2019-08-21,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
28,2019-08-22,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
29,2019-08-23,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
30,2019-08-27,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
31,2019-08-28,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
32,2019-08-29,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
33,2019-08-30,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
34,2019-09-02,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
35,2019-09-03,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
36,2019-09-04,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
37,2019-09-05,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
38,2019-09-06,1275.0,1319.0,1319.0,1275.0,1252.714233,25.0
39,2019-09-09,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
40,2019-09-10,1275.0,1245.0,1245.0,1275.0,1252.714233,224.0
41,2019-09-11,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
42,2019-09-12,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
43,2019-09-13,1275.0,1239.0,1239.0,1275.0,1252.714233,750.0
44,2019-09-16,1275.0,1239.0,1239.0,1275.0,1252.714233,161.0
45,2019-09-17,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
46,2019-09-18,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
47,2019-09-19,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
48,2019-09-20,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
49,2019-09-23,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
50,2019-09-24,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
51,2019-09-25,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
52,2019-09-26,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
53,2019-09-27,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
54,2019-09-30,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
55,2019-10-01,1275.0,1239.0,1239.0,1275.0,1252.714233,2694.0
56,2019-10-02,1275.0,1275.0,1275.0,1275.0,1252.714233,0.0
57,2019-10-03,1275.0,1275.0,1275.0,1275.0,1263.616089,0.0
58,2019-10-04,1255.0,1255.0,1255.0,1255.0,1243.794556,0.0
59,2019-10-07,1255.0,1255.0,1255.0,1255.0,1243.794556,0.0
60,2019-10-08,1255.0,1255.0,1255.0,1255.0,1243.794556,0.0
61,2019-10-09,1245.0,1245.0,1245.0,1245.0,1233.883911,0.0
62,2019-10-10,1245.0,1245.0,1245.0,1245.0,1233.883911,0.0
63,2019-10-11,1245.0,1245.0,1245.0,1245.0,1233.883911,0.0
64,2019-10-14,1245.0,1245.0,1245.0,1245.0,1233.883911,0.0
65,2019-10-15,1245.0,1245.0,1245.0,1245.0,1233.883911,0.0
66,2019-10-16,1245.0,1245.0,1245.0,1245.0,1233.883911,0.0
67,2019-10-17,1280.0,1280.0,1280.0,1245.0,1233.883911,16.0
68,2019-10-18,1240.0,1240.0,1240.0,1240.0,1228.928589,0.0
69,2019-10-21,1240.0,1240.0,1240.0,1240.0,1228.928589,0.0
70,2019-10-22,1240.0,1240.0,1240.0,1240.0,1228.928589,0.0
71,2019-10-23,1240.0,1190.0,1190.0,1240.0,1228.928589,85.0
72,2019-10-24,1240.0,1240.0,1240.0,1240.0,1228.928589,0.0
73,2019-10-25,1240.0,1240.0,1240.0,1240.0,1228.928589,0.0
74,2019-10-28,1240.0,1240.0,1240.0,1240.0,1228.928589,0.0
75,2019-10-29,1240.0,1240.0,1240.0,1240.0,1228.928589,0.0
76,2019-10-30,1240.0,1240.0,1240.0,1240.0,1228.928589,0.0
