,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-07-15,1.775,1.775,1.775,1.775,1.713711,0.0
1,2019-07-16,1.775,1.775,1.775,1.775,1.713711,0.0
2,2019-07-17,1.85,1.85,1.85,1.775,1.713711,59625.0
3,2019-07-18,1.825,1.825,1.825,1.825,1.761985,0.0
4,2019-07-19,1.8,1.8,1.8,1.825,1.761985,56143.0
5,2019-07-22,1.8,1.8,1.8,1.795,1.733021,9447.0
6,2019-07-23,1.795,1.795,1.795,1.795,1.733021,0.0
7,2019-07-24,1.795,1.795,1.795,1.795,1.733021,0.0
8,2019-07-25,1.795,1.795,1.795,1.795,1.733021,0.0
9,2019-07-26,1.775,1.775,1.775,1.775,1.713711,0.0
10,2019-07-29,1.775,1.775,1.775,1.775,1.713711,0.0
11,2019-07-30,1.775,1.775,1.775,1.775,1.713711,0.0
12,2019-07-31,1.775,1.775,1.775,1.775,1.713711,0.0
13,2019-08-01,1.775,1.775,1.775,1.775,1.713711,0.0
14,2019-08-02,1.75,1.75,1.75,1.75,1.689574,0.0
15,2019-08-05,1.75,1.75,1.75,1.75,1.689574,0.0
16,2019-08-06,1.725,1.725,1.725,1.725,1.6654380000000002,0.0
17,2019-08-07,1.725,1.725,1.725,1.725,1.6654380000000002,0.0
18,2019-08-08,1.725,1.725,1.725,1.725,1.6654380000000002,0.0
19,2019-08-09,1.725,1.725,1.725,1.725,1.6654380000000002,0.0
20,2019-08-12,1.725,1.725,1.725,1.725,1.6654380000000002,0.0
21,2019-08-13,1.825,1.825,1.825,1.825,1.761985,0.0
22,2019-08-14,1.825,1.8,1.8,1.8,1.737848,18894.0
23,2019-08-15,1.8,1.8,1.8,1.8,1.737848,0.0
24,2019-08-16,1.8,1.8,1.8,1.8,1.737848,0.0
25,2019-08-19,1.775,1.775,1.775,1.775,1.713711,0.0
26,2019-08-20,1.775,1.775,1.775,1.775,1.713711,0.0
27,2019-08-21,1.775,1.775,1.775,1.775,1.713711,0.0
28,2019-08-22,1.775,1.775,1.775,1.775,1.713711,0.0
29,2019-08-23,1.775,1.775,1.775,1.775,1.713711,0.0
30,2019-08-27,1.775,1.775,1.775,1.775,1.713711,0.0
31,2019-08-28,1.775,1.775,1.775,1.775,1.713711,0.0
32,2019-08-29,1.775,1.775,1.775,1.775,1.713711,0.0
33,2019-08-30,1.775,1.775,1.775,1.775,1.713711,0.0
34,2019-09-02,1.775,1.775,1.775,1.775,1.713711,0.0
35,2019-09-03,1.775,1.775,1.775,1.775,1.713711,0.0
36,2019-09-04,1.775,1.7335,1.73,1.775,1.713711,341713.0
37,2019-09-05,1.775,1.775,1.775,1.775,1.713711,0.0
38,2019-09-06,1.7,1.7,1.7,1.7,1.641301,149070.0
39,2019-09-09,1.775,1.775,1.775,1.775,1.713711,0.0
40,2019-09-10,1.775,1.775,1.775,1.775,1.713711,0.0
41,2019-09-11,1.775,1.775,1.775,1.775,1.713711,0.0
42,2019-09-12,1.775,1.775,1.775,1.775,1.713711,0.0
43,2019-09-13,1.775,1.775,1.775,1.775,1.713711,0.0
44,2019-09-16,1.775,1.775,1.775,1.775,1.713711,0.0
45,2019-09-17,1.73,1.73,1.73,1.73,1.670265,100.0
46,2019-09-18,1.775,1.775,1.775,1.775,1.713711,0.0
47,2019-09-19,1.775,1.775,1.775,1.775,1.713711,0.0
48,2019-09-20,1.775,1.775,1.775,1.775,1.713711,0.0
49,2019-09-23,1.775,1.775,1.775,1.775,1.713711,0.0
50,2019-09-24,1.775,1.775,1.775,1.775,1.713711,0.0
51,2019-09-25,1.775,1.775,1.775,1.775,1.713711,0.0
52,2019-09-26,1.73,1.73,1.73,1.73,1.670265,9447.0
53,2019-09-27,1.775,1.775,1.775,1.775,1.713711,0.0
54,2019-09-30,1.775,1.775,1.775,1.775,1.713711,0.0
55,2019-10-01,1.775,1.775,1.775,1.775,1.713711,0.0
56,2019-10-02,1.775,1.775,1.775,1.775,1.713711,0.0
57,2019-10-03,1.775,1.775,1.775,1.775,1.713711,0.0
58,2019-10-04,1.775,1.775,1.775,1.775,1.713711,0.0
59,2019-10-07,1.775,1.775,1.775,1.775,1.713711,0.0
60,2019-10-08,1.775,1.775,1.775,1.775,1.713711,0.0
61,2019-10-09,1.73,1.73,1.73,1.73,1.670265,20000.0
62,2019-10-10,1.775,1.775,1.775,1.775,1.713711,0.0
63,2019-10-11,1.775,1.775,1.775,1.775,1.713711,0.0
64,2019-10-14,1.775,1.775,1.775,1.775,1.713711,0.0
65,2019-10-15,1.775,1.775,1.775,1.775,1.713711,0.0
66,2019-10-16,1.775,1.775,1.775,1.775,1.713711,0.0
